"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD"
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-07","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-08","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-09","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-11","0.89",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-12","0.28",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-13","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-14","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-22","1.21",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-01-23","0.07",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-01","0.40",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-16","0.46",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-17","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-18","0.04",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-19","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-20","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-21","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-22","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-02-26","0.80",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-02","0.09",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-03","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-04","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-05","1.05","3.1","3.0"
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-06","0.00","0.0","0.0"
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-07","0.00","0.0","0.0"
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-08","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-09","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-10","1.52",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-11","0.00","0.0",
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-12","0.02",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-13","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-14","0.50",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-15","0.00",,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","32.7411","-96.4706","142.3","2015-03-16","0.00",,
